Reviewer,Date,review,clean_review,polarity,sentiment,year
Tailah B.,2017-02-26,If I could do 0 stars I would. This place sucks! The lines are ALWAYS long. ALWAYS. The cashiers don't work fast enough and don't know to trouble shoot simple issues on the register such as changing receipt paper. Im never shopping here again I will go all the way out to the suburbs.,could stars would place sucks lines always long always cashiers dont work fast enough dont know trouble shoot simple issues register changing receipt paper im never shopping go way suburbs,-0.05833333333333333,Neutral,2017
Janice A.,2019-08-17,When this store close in this neighborhood. Don't blame it on Chicago . Blame it on the Management team . Employees outside . Lines to the rear of the store people stealing . And customer service only take Returns and exchanges . Never will I return . Again if your lost prevention is high Trust me I know why . Nobody  is working !!!! What about your neighborhood and the Customers they deserve so much more than this !!!!! Disgusting I guess we will go to Evergreen Park or Jewels,store close neighborhood dont blame chicago blame management team employees outside lines rear store people stealing customer service take returns exchanges never return lost prevention high trust know nobody working neighborhood customers deserve much disgusting guess go evergreen park jewels,-0.27999999999999997,Negative,2019
Lannie B.,2020-01-06,"They are slow, only two registers open no sense of urgency at this location. Its 8pm and they don't care at all how fast they get the customers out the door. This is ridiculous, only in the hood. Walmart don't care or they would do better.",slow two registers open sense urgency location pm dont care fast get customers door ridiculous hood walmart dont care would better,0.01333333333333333,Neutral,2020
Nikki K.,2017-07-23,Long lines... Every single day! Bad attitudes from floor associates and they are always in groups and can never tell you where anything is located in the aisle.,long lines every single day bad attitudes floor associates always groups never tell anything located aisle,-0.2738095238095238,Negative,2017
Tamika Y.,2017-01-04,"Everyone loves Walmart including me because the prices are pretty low BUT this Walmart just sucks. I only gave the store TWO stars because the company keeps lower prices. You can NEVER go in this store and walk into it clean.They always have pallets in the aisles with empty shelves. If you ask people for assistance, they act like they want to help but never come back. Or will call for a manager who has an attitude as well. Honestly I'd rather pay more for better service, quick check out and a clean store. Hello Target! Oh wait...and not to mention, the self checkouts are always ""card only, no cash, no cash back."" Not a problem for me BUT for some it is. Maybe this Walmart should consider hiring more people and having more than 2 lines open. And hiring people who want to work, keep merchandise on the shelves, off the pallets and know what customer service is. I've met maybe 4 people who are actually nice there. I'll stick to the Walmart stores in the suburbs",everyone loves walmart including prices pretty low walmart sucks gave store two stars company keeps lower prices never go store walk cleanthey always pallets aisles empty shelves ask people assistance act like want help never come back call manager attitude well honestly id rather pay better service quick check clean store hello target oh waitand mention self checkouts always card cash cash back problem maybe walmart consider hiring people lines open hiring people want work keep merchandise shelves pallets know customer service ive met maybe people actually nice ill stick walmart stores suburbs,0.1346153846153846,Positive,2017
Dee H.,2013-06-05,"Went to this Walmart to pick up a few things (Never EVER try to spend more that 30-45 min in this place) and sure enough, I was almost jumped by a a mother and daughter duo who became upset when I told them they butted me in line.  I actually said ""excuse me ma'am, I was in line.""  Why oh why did they proceed to curse me clean the hell OUT in front of the 2 small children they had with them.  The Walmart staff turned the other cheek while the security never came to my rescue.  They ended up getting out of line but the whole experience was ghetto and embarrassing.  I swear this will be my last Walmart experience in the hood.  I will spend the extra coins at Target for the safer experience.",went walmart pick things never ever try spend min place sure enough almost jumped mother daughter duo became upset told butted line actually said excuse maam line oh proceed curse clean hell front small children walmart staff turned cheek security never came rescue ended getting line whole experience ghetto embarrassing swear last walmart experience hood spend extra coins target safer experience,0.08518518518518518,Neutral,2013
Carmen P.,2016-02-01,"I truly wish I can rate a -5. Walmart.com is absolutely ajoke. I made the mistake of going online to do a same day pick up order. Firstproblem online it never stated AFTER I placed my order that I can pick the itemup today it stated that it will be available at the end of the week? Not somuch a big deal I was willing to wait. Midweek I receive a text stating that Ican retrieve my items, then a following text stating my items were canceled???I know try to keep up with me lol. I immediately head to the store because theitems were a gift for someone that needed to have it by the end of the week. Iarrive to the 83rd and Stewart location first mistake! I stood there for about5min before anyone said hello. I explain to the gentelman that I am confused onwhat's going on with my order.. he takes my name walks away and come back. Nowmy order was a total of $109.00 this young man brings out 2 items when Iordered about 7 or 8. I ask him is this all you having out of my entire order?he says yes this is all they can locate in the store, imagine my confusion. Itell him I thought that was the reason Walmart asks you to choose a location sothey can ensure the items are here? he reply and says that is""walmart.com"" not walmart ( as he stands in front of a walmart.comsign). I truly did not want to argue I ask him if he can cancel my complete order.he says yes. I personally grab a cart and go through the ales and find everyitem I ordered online to begin with...... Imagine how upset I am I go to theregister and re purchase all items for $146.00, I left the store with other badcustomer service at the register and at the door checking my receipt.. I getonline to walmart.com the next day just to double check everything wascanceled, I go to my cart and see that there is still 3 items shipping to thestore huh?????? I log on and chat with a representative whom I gave the abovestory to who felt really bad. His words to me were ""WE FAILED YOU"" heensured me that he will escalate my refund. I let things go for a few days goback online the orders are still in my cart ( at this point I am on fire)because I still have a total of $246.00 holding on my debit card in Walmartcharges... I get back on the chat and explain myself again she tells me thatnothing has been escalated smh and that I have 2 options 1. I can go back tothe store to cancel the items or 2. wait 7 days if the items are not picked upthey are automatically canceled?????? I instantly asked her for the number tocorporate which she claims she does not have. She states if I call walmart.comthey will transfer me. I call walmart.com and asked to speak to corporate theytransferred me and I was on hold for about 30 min. I grab my house phone andcall walmart.com and speak to a supervisor named "" Samantha"", I explainedto her my detailed situation and she calls ""Theresa"" at 83rd andstewart location on 3 way and they both decide the only way still that they cancancel the items that should have already be canceled is for me to go all theway back to the store?? I literally just disconnected the phone call becausethis is more time wasted. I go to the location to cancel my items again anotherunnecessary mistake. Their were 2 gentleman at the counter whom tried to tellme they couldn't cancel them from here (I had to remind them that I was givenno choice) after switching registers and gaining the help of another lady thecanceled the rest of my order. No no that's not it lol. Today Is Feb, 1st so asI had some free time I go back onto walmart.com to make sure everything iscanceled again. Imagine my surprise when everything says canceled but I stillsee a balance of 19.78??? I have to call walmart.com again because this isunclear I speak to a pleasant gentleman by the name of ""Victor"" whomtried his hardest to help but really couldn't figure it out either and againstates he will escalate my matter to refund me this difference now ( if youhave read my entire review you will know why I am not confident this willhappen). This has been going on for about a week now and I am still missingmoney from this order, I am calling out walmart corporate to make it right withme which I know may not happen because apparently service is not a priority atthis company. Honestly this experience makes me want to NEVER shop at walmartagain. I hope this helps at least one person... walmart if you get a chance to read this look up my order and contactme. Carmen.l.adcock@gmail.com.",truly wish rate walmartcom absolutely ajoke made mistake going online day pick order firstproblem online never stated placed order pick itemup today stated available end week somuch big deal willing wait midweek receive text stating ican retrieve items following text stating items canceledi know try keep lol immediately head store theitems gift someone needed end week iarrive rd stewart location first mistake stood aboutmin anyone said hello explain gentelman confused onwhats going order takes name walks away come back nowmy order total young man brings items iordered ask entire orderhe says yes locate store imagine confusion itell thought reason walmart asks choose location sothey ensure items reply says iswalmartcom walmart stands front walmartcomsign truly want argue ask cancel complete orderhe says yes personally grab cart go ales find everyitem ordered online begin imagine upset go theregister purchase items left store badcustomer service register door checking receipt getonline walmartcom next day double check everything wascanceled go cart see still items shipping thestore huh log chat representative gave abovestory felt really bad words failed heensured escalate refund let things go days goback online orders still cart point firebecause still total holding debit card walmartcharges get back chat explain tells thatnothing escalated smh options go back tothe store cancel items wait days items picked upthey automatically canceled instantly asked number tocorporate claims states call walmartcomthey transfer call walmartcom asked speak corporate theytransferred hold min grab house phone andcall walmartcom speak supervisor named samantha explainedto detailed situation calls theresa rd andstewart location way decide way still cancancel items already canceled go theway back store literally disconnected phone call becausethis time wasted go location cancel items anotherunnecessary mistake gentleman counter tried tellme couldnt cancel remind givenno choice switching registers gaining help another lady thecanceled rest order thats lol today feb st asi free time go back onto walmartcom make sure everything iscanceled imagine surprise everything says canceled stillsee balance call walmartcom isunclear speak pleasant gentleman name victor whomtried hardest help really couldnt figure either againstates escalate matter refund difference youhave read entire review know confident willhappen going week still missingmoney order calling walmart corporate make right withme know may happen apparently service priority atthis company honestly experience makes want never shop walmartagain hope helps least one person walmart get chance read look order contactme carmenladcockgmailcom,0.11172619047619048,Positive,2016
Lulu C.,2015-02-22,"THIS IS BY FAR THE WORST LOCATION I HAVE EVER BEEN TO!Never have I been so utterly disrespected and disregarded by so many associates in one location at one time. I visited a Walmart location a few days ago and used a self checkout kiosk. I mistakenly asked for cash back from the kiosk (which does not dispense cash) and left the store without realizing I never received my change.  I called in to customer service, and was advised over the phone by one customer service associate (Ronidqua) to bring in my receipt to receive the cash back from my transaction. I came into the store, and waited 45-minutes in line to get assistance. Once at the customer service counter, I explained my situation, to which the associate, Candice, takes my receipt and tells me to have a seat because my issue will take a while.  After 20-minutes of waiting, I follow up with Candice to make sure someone is handling my issue.  She says that she just followed up with someone about my issue and walks off to handle returned items. After ANOTHER 45-minutes of waiting patiently, I ask to speak to a manager (Rolando). After explaining my issue to him, he tells me that I should first contact my banking institution to handle this matter and if they can't do anything, then to come back to the store.  I ask him if it would be possible to at least get my original receipt back, to which he responds no member of his staff would have taken a receipt and given it to a member of security to rectify an issue.  He then proceeds to tell me that if my financial institution is unable to resolve the issue, then I should come back and they can re-print me a copy of my receipt.  He made ZERO attempt to recover my original receipt or even acknowledge the fact that one of his associates DID execute such an act.  After multiple requests to get my original receipt returned to me, I asked if he could get the associate that took my receipt from me. He responded that she had left for the evening.  The level of complete and utter lack of adequate customer service at this location is very disturbing. There have been several instances with similar outcomes where I leave highly frustrated at the lack of care associates take in fulfilling even their basic responsibilities. There is obviously a lack of training present, both in basic customer service and in problem solving. Instances like these make it increasingly daunting to patron these locations because of the EXPECTATION of poor customer service and lack of care by almost ALL employed associates.  This type of quality is not indicative of the Walmart mission or vision and needs to be addressed immediately.  No one should ever be subjected to the blatant disregard for people or their time that I experienced.This was the final straw for me spending my money with a company that could clearly care less about quality customer satisfaction or even basic customer service.  I will no longer shop here and fully intend to spread the word about the poor service I received today.",far worst location ever tonever utterly disrespected disregarded many associates one location one time visited walmart location days ago used self checkout kiosk mistakenly asked cash back kiosk dispense cash left store without realizing never received change called customer service advised phone one customer service associate ronidqua bring receipt receive cash back transaction came store waited minutes line get assistance customer service counter explained situation associate candice takes receipt tells seat issue take minutes waiting follow candice make sure someone handling issue says followed someone issue walks handle returned items another minutes waiting patiently ask speak manager rolando explaining issue tells first contact banking institution handle matter cant anything come back store ask would possible least get original receipt back responds member staff would taken receipt given member security rectify issue proceeds tell financial institution unable resolve issue come back reprint copy receipt made zero attempt recover original receipt even acknowledge fact one associates execute act multiple requests get original receipt returned asked could get associate took receipt responded left evening level complete utter lack adequate customer service location disturbing several instances similar outcomes leave highly frustrated lack care associates take fulfilling even basic responsibilities obviously lack training present basic customer service problem solving instances like make increasingly daunting patron locations expectation poor customer service lack care almost employed associates type quality indicative walmart mission vision needs addressed immediately one ever subjected blatant disregard people time experiencedthis final straw spending money company could clearly care less quality customer satisfaction even basic customer service longer shop fully intend spread word poor service received today,-0.0373931623931624,Neutral,2015
Veron H.,2019-10-26,"I asked an Walmart employee to see do they have a 250gb Sandisk microSD card and the woman says, ""Yes, we do!"" So, I went to Walmart and another employee says, ""We do not have it."" and didn't have the 250gb Sandisk microSD card.",asked walmart employee see gb sandisk microsd card woman says yes went walmart another employee says didnt gb sandisk microsd card,0.0,Neutral,2019
Amenze I.,2020-03-31,Most ignorant place I've ever been. Talk to you like you aren't a customer. I'll go to Indiana,ignorant place ive ever talk like arent customer ill go indiana,-0.5,Negative,2020
Trish N.,2013-11-28,"In terms of this particular Walmart, the actual building and what it provides is very fantastic. They have a wide variety of products and services that meet every need and/or want that you may have. What makes such a spectacular place exclusively terrible is the lack of customer service. The lackluster employees even go as far as to horseplay and call each expletives in front of groups of customers. I have even witnessed them even refusing to help customers because they themselves are ridiculously lazy. Upon having an experience where I was looking for an item and I had an employee tell me to ""Google it so I can see what it look like"" [end quote], I found myself too apalled to even want to return to this location. If you value your time and money, I implore you to go elsewhere.",terms particular walmart actual building provides fantastic wide variety products services meet every need andor want may makes spectacular place exclusively terrible lack customer service lackluster employees even go far horseplay call expletives front groups customers even witnessed even refusing help customers ridiculously lazy upon experience looking item employee tell google see look like end quote found apalled even want return location value time money implore go elsewhere,-0.010416666666666668,Neutral,2013
Tkeyah D.,2016-01-28,The staff here is super unprofessional ! Just ghetto . They have no regard for the customers experience.,staff super unprofessional ghetto regard customers experience,0.3333333333333333,Positive,2016
