reviewer,review_date,review_text
Tamika Y.,2017-01-04 00:00:00,"Everyone loves Walmart including me because the prices are pretty low BUT this Walmart just sucks. I only gave the store TWO stars because the company keeps lower prices. You can NEVER go in this store and walk into it clean.They always have pallets in the aisles with empty shelves. If you ask people for assistance, they act like they want to help but never come back. Or will call for a manager who has an attitude as well. Honestly I'd rather pay more for better service, quick check out and a clean store. Hello Target! Oh wait...and not to mention, the self checkouts are always ""card only, no cash, no cash back."" Not a problem for me BUT for some it is. Maybe this Walmart should consider hiring more people and having more than 2 lines open. And hiring people who want to work, keep merchandise on the shelves, off the pallets and know what customer service is. I've met maybe 4 people who are actually nice there. I'll stick to the Walmart stores in the suburbs"
Dee H.,2013-06-05 00:00:00,"Went to this Walmart to pick up a few things (Never EVER try to spend more that 30-45 min in this place) and sure enough, I was almost jumped by a a mother and daughter duo who became upset when I told them they butted me in line.  I actually said ""excuse me ma'am, I was in line.""  Why oh why did they proceed to curse me clean the hell OUT in front of the 2 small children they had with them.  The Walmart staff turned the other cheek while the security never came to my rescue.  They ended up getting out of line but the whole experience was ghetto and embarrassing.  I swear this will be my last Walmart experience in the hood.  I will spend the extra coins at Target for the safer experience."
Carmen P.,2016-02-01 00:00:00,"I truly wish I can rate a -5. Walmart.com is absolutely ajoke. I made the mistake of going online to do a same day pick up order. Firstproblem online it never stated AFTER I placed my order that I can pick the itemup today it stated that it will be available at the end of the week? Not somuch a big deal I was willing to wait. Midweek I receive a text stating that Ican retrieve my items, then a following text stating my items were canceled???I know try to keep up with me lol. I immediately head to the store because theitems were a gift for someone that needed to have it by the end of the week. Iarrive to the 83rd and Stewart location first mistake! I stood there for about5min before anyone said hello. I explain to the gentelman that I am confused onwhat's going on with my order.. he takes my name walks away and come back. Nowmy order was a total of $109.00 this young man brings out 2 items when Iordered about 7 or 8. I ask him is this all you having out of my entire order?he says yes this is all they can locate in the store, imagine my confusion. Itell him I thought that was the reason Walmart asks you to choose a location sothey can ensure the items are here? he reply and says that is""walmart.com"" not walmart ( as he stands in front of a walmart.comsign). I truly did not want to argue I ask him if he can cancel my complete order.he says yes. I personally grab a cart and go through the ales and find everyitem I ordered online to begin with...... Imagine how upset I am I go to theregister and re purchase all items for $146.00, I left the store with other badcustomer service at the register and at the door checking my receipt.. I getonline to walmart.com the next day just to double check everything wascanceled, I go to my cart and see that there is still 3 items shipping to thestore huh?????? I log on and chat with a representative whom I gave the abovestory to who felt really bad. His words to me were ""WE FAILED YOU"" heensured me that he will escalate my refund. I let things go for a few days goback online the orders are still in my cart ( at this point I am on fire)because I still have a total of $246.00 holding on my debit card in Walmartcharges... I get back on the chat and explain myself again she tells me thatnothing has been escalated smh and that I have 2 options 1. I can go back tothe store to cancel the items or 2. wait 7 days if the items are not picked upthey are automatically canceled?????? I instantly asked her for the number tocorporate which she claims she does not have. She states if I call walmart.comthey will transfer me. I call walmart.com and asked to speak to corporate theytransferred me and I was on hold for about 30 min. I grab my house phone andcall walmart.com and speak to a supervisor named "" Samantha"", I explainedto her my detailed situation and she calls ""Theresa"" at 83rd andstewart location on 3 way and they both decide the only way still that they cancancel the items that should have already be canceled is for me to go all theway back to the store?? I literally just disconnected the phone call becausethis is more time wasted. I go to the location to cancel my items again anotherunnecessary mistake. Their were 2 gentleman at the counter whom tried to tellme they couldn't cancel them from here (I had to remind them that I was givenno choice) after switching registers and gaining the help of another lady thecanceled the rest of my order. No no that's not it lol. Today Is Feb, 1st so asI had some free time I go back onto walmart.com to make sure everything iscanceled again. Imagine my surprise when everything says canceled but I stillsee a balance of 19.78??? I have to call walmart.com again because this isunclear I speak to a pleasant gentleman by the name of ""Victor"" whomtried his hardest to help but really couldn't figure it out either and againstates he will escalate my matter to refund me this difference now ( if youhave read my entire review you will know why I am not confident this willhappen). This has been going on for about a week now and I am still missingmoney from this order, I am calling out walmart corporate to make it right withme which I know may not happen because apparently service is not a priority atthis company. Honestly this experience makes me want to NEVER shop at walmartagain. I hope this helps at least one person... walmart if you get a chance to read this look up my order and contactme. Carmen.l.adcock@gmail.com."
Lulu C.,2015-02-22 00:00:00,"THIS IS BY FAR THE WORST LOCATION I HAVE EVER BEEN TO!Never have I been so utterly disrespected and disregarded by so many associates in one location at one time. I visited a Walmart location a few days ago and used a self checkout kiosk. I mistakenly asked for cash back from the kiosk (which does not dispense cash) and left the store without realizing I never received my change.  I called in to customer service, and was advised over the phone by one customer service associate (Ronidqua) to bring in my receipt to receive the cash back from my transaction. I came into the store, and waited 45-minutes in line to get assistance. Once at the customer service counter, I explained my situation, to which the associate, Candice, takes my receipt and tells me to have a seat because my issue will take a while.  After 20-minutes of waiting, I follow up with Candice to make sure someone is handling my issue.  She says that she just followed up with someone about my issue and walks off to handle returned items. After ANOTHER 45-minutes of waiting patiently, I ask to speak to a manager (Rolando). After explaining my issue to him, he tells me that I should first contact my banking institution to handle this matter and if they can't do anything, then to come back to the store.  I ask him if it would be possible to at least get my original receipt back, to which he responds no member of his staff would have taken a receipt and given it to a member of security to rectify an issue.  He then proceeds to tell me that if my financial institution is unable to resolve the issue, then I should come back and they can re-print me a copy of my receipt.  He made ZERO attempt to recover my original receipt or even acknowledge the fact that one of his associates DID execute such an act.  After multiple requests to get my original receipt returned to me, I asked if he could get the associate that took my receipt from me. He responded that she had left for the evening.  The level of complete and utter lack of adequate customer service at this location is very disturbing. There have been several instances with similar outcomes where I leave highly frustrated at the lack of care associates take in fulfilling even their basic responsibilities. There is obviously a lack of training present, both in basic customer service and in problem solving. Instances like these make it increasingly daunting to patron these locations because of the EXPECTATION of poor customer service and lack of care by almost ALL employed associates.  This type of quality is not indicative of the Walmart mission or vision and needs to be addressed immediately.  No one should ever be subjected to the blatant disregard for people or their time that I experienced.This was the final straw for me spending my money with a company that could clearly care less about quality customer satisfaction or even basic customer service.  I will no longer shop here and fully intend to spread the word about the poor service I received today."
Veron H.,2019-10-26 00:00:00,"I asked an Walmart employee to see do they have a 250gb Sandisk microSD card and the woman says, ""Yes, we do!"" So, I went to Walmart and another employee says, ""We do not have it."" and didn't have the 250gb Sandisk microSD card."
Amenze I.,2020-03-31 00:00:00,Most ignorant place I've ever been. Talk to you like you aren't a customer. I'll go to Indiana
Trish N.,2013-11-28 00:00:00,"In terms of this particular Walmart, the actual building and what it provides is very fantastic. They have a wide variety of products and services that meet every need and/or want that you may have. What makes such a spectacular place exclusively terrible is the lack of customer service. The lackluster employees even go as far as to horseplay and call each expletives in front of groups of customers. I have even witnessed them even refusing to help customers because they themselves are ridiculously lazy. Upon having an experience where I was looking for an item and I had an employee tell me to ""Google it so I can see what it look like"" [end quote], I found myself too apalled to even want to return to this location. If you value your time and money, I implore you to go elsewhere."
Tkeyah D.,2016-01-28 00:00:00,The staff here is super unprofessional ! Just ghetto . They have no regard for the customers experience.
Jevita N.,2013-07-20 00:00:00,"Its really sad to say that this is one of the few Wal-Mart's on the south side of Chicago. This Wal-Mart is normally accustomed to long lines, ignorant customers, and un helpful staff. Needless to say unless your going to go very far south or north this can be one of your only options. Try not to go on the weekend or at night and you may be able to find what you want and not stay in line for 35 minutes. ."
Jules L.,2013-01-11 00:00:00,"Really? This is why we needed Walmart in Chicago so bad?I might be biased because I don't like Walmart so much to begin with; I much prefer Target. But due to a friend's bridal registry, then a large gift ordered by out-of-town relatives, I have needed to go to this one twice. Well, of course the registry kiosk wasn't functional, why would it be? So the first trip was a wasted one. At least we did get what we came for the second time. But both times, we encountered employees who could not answer any question, no matter how simple (such as where certain departments were located within the store; people who work within ten feet of the registry kiosk and are in fact facing it don't know where it is or if they have one)), could not speak proper English despite it being their first language (sorry, Ebonics does not count as a language), and were much more interested in loudly describing their sex and drinking lives to each other than in doing anything like work. Please. There is no reason to find yourself in this store."
Twila J.,2014-03-24 00:00:00,"I was actually glad when this Walmart opened because of the dearth of businesses in so many south side neighborhoods.  Even though Walmart is a ""big box"" retailer with some not so attractive attributes I was looking forward to something that would be better than nothing.  Social consciousness, eco-friendly gobbledy gook, and feelgood slogans aside, what good is a business that won't open in my neighborhood?  Alas, this Walmart manages to be sub-par even with my generally low expectations of a ""big box"" retailer.  I've found pricing to be pretty good on most items.  I commonly find OTC pharmacy items are much less than competitors.   General merchandise is poorly stocked and yet the aisles are perpetually cluttered with boxes.  Things are messy, dirty, and misplaced.  The employees are a mixed bag.  I've had a few efficient and polite ones and some that are rude and unhelpful.  Some days you can get in and out, other days the lines are so long and slow moving that I've dropped the merchandise on the nearest shelf and walked out.  The thing that finally turned me off was going in one night to find a jewelry organizer.  After looking around for a few minutes in jewelry I couldn't find it so I approach the jewelry counter to ask if it might be located elsewhere.  Before I can open my mouth some armed security guard tells me very rudely to step back.  I eventually figured out that the sales girl was counting money to close the register but nothing in my dress or demeanor would indicate that I was there to steal.  Trying to ask where I might be able to find help got another rude brushoff.  I draw the line at being treated rudely and disrespectfully when I'm there to give a business my money.  This Walmart can hire armed guards to mean-mug customers but they can't hire anyone capable of answering a question?  No thanks! I think I've been back one time since that incident to get something very minor.  I have to be in pretty dire straits to deal with this place.  I'm sure they'll do fine without my money but I'd rather drive farther and be able to shop in peace."
Sammy S.,2012-09-26 00:00:00,"Worst customer service ever! Seriously, employees are RUDE and doesn't do anything. Walmart needs to hire good people. I would not come to this walmart ever again."
Raven J.,2013-01-27 00:00:00,"If I could, I would give this location 0 stars. The shelves are often bare because all the inventory sits on palettes in the aisles. The employees seem uninterested and are just plain rude. The absolute worst Wal-mart I have ever visited. You could not pay me to return to that location. Execs in Bentonville need to visit this location to see how horribly this store represents their brand."
Candace W.,2015-01-07 00:00:00,"I am not a fan of Wal-Mart in general because of their practices. Because of this, I have cut down my spending from about 90% to 20-30% in the last few years. This particular store has huge issues and can be a big disappointment with overall customer relations. You never know if you will get the services you need. For example, I ordered a same day photo book in 2013 as a gift. NEVER RECEIVED IT. Went to the store several times and there was always a different excuse.  Today I was there (only because I was a passenger with someone else who decided to stop in). Came across the clearance aisles and saw 1/4 of a wall stocked with Cherrios under huge ""Clearance"" signs. YES!! Well, they didn't have prices on them so I asked a co-manager, Patrick, for the price. He checks with another employee then informs me that they aren't on sale. Excuse me?! Then why are they on the wall marked clearance. Long story short, he argues that they are changing the wall (although NOT ACTIVELY) and that's it. Even threatened to have my mom thrown out the store if she took a picture. Most places will acknowledge the mistake, and give you a discount. But not Patrick, he was steadfast in making sure Wal-Mart didn't lose a dollar. This just confirms my lack of desire to shop there. Oh, and let's talk about how they have the generic white bags with red thank you on it. Talk about bad management! Does corporate know you are not using Wal-Mart brand bags? Wonder what they will think about that. I will say, however, that my cashier, Wakenda was very pleasant as well as the young man in electronics that assisted us with the IPods. Only reason I'm not complaining about being forced to give them one star."
Glenn H.,2013-09-03 00:00:00,"I think this Walmart getsa bad rep. Yes, if you visit the store around the 1st week of any month of course youre going to get the hoodrats, hoochie mamas, club dressed women, viral gangsters and unruly elderly but it's still at it's core, Walmart. The aisles can be restocked more but I like it overall. The only gripe I have are the cashiers but it's like a drawer of socks, sometimes you get good, sometimes bad....at least with me."
Chiffon M.,2017-04-25 00:00:00,Super long lines.  Why can't things in black communities run smoothly? Everytime I go in here the lines are long. I only go bacl because it is so close to home but outs not a run in run out store like I wish.
Bass A.,2021-03-26 00:00:00,"this store need to get closed . this disorganized store don't know what they be doing all mangers need to be fired as soon as possible . they always accusing somebody of stealing things they never correct the issues that need to be correct . never answer the phone on no lines it was an emergency parent couldnt get inconact with the child,bad store bad never shop again never shopping on fucking 83 again walmart bullshit ."
Vernon P.,2014-11-29 00:00:00,"Walmart, that absolute genius business model. Crappy store cleanliness as usual, genius level supply chain logistics (second only to Amazon.com), savings directly passed down to customers."
Maxxy C.,2015-02-08 00:00:00,"Is this really a ""Supercenter""? I have been here about 3 times.  Typical Walmart- it meets my shopping needs.   I really do not have a complaint about this store. I even shopped here on Thanksgiving.  It was PACKED, but, I was in and out in no time. Its good to have a Walmart in the city of Chicago."
Melanie W.,2013-07-07 00:00:00,I come to this location because of the convenience of it being near my home but I wish they would hire enough people to restock the shelves in a timely fashion and more cashiers. As for some( not all) of the others shoppers who are straight ignorant I can't blame Walmart for that.
Monique T.,2016-10-25 00:00:00,Horrible customer service. Staff always has nasty attitudes. I basically find items on my own or my mother helps me and we aren't even employed there.
Fred C.,2016-12-16 00:00:00,"I placed an order and paid for it at this location on October 22, 2016, to be picked up on November 11, 2016 and it never came.Walmart.com told me to cancel the order online and re-order, so I did. However; when I went to the store for assistance, I was at the ""Service Counter"" for over three (3) hours waiting for someone who could pull up the canceled order and give me a refund.  When I reordered, the same thing happened all over again. The best Solution, ""TARGET""!"
Brandi B.,2018-03-06 00:00:00,This location has some of the worst waiting times that I have ever seen in a Walmart. There were barely any carts available once I entered the store. Shelves need to be restocked with merchandise. This location needs a lot of improvement.
Goldie B.,2017-12-18 00:00:00,If I could give this store 0 stars I would. I had a horrible experience while in the customer service department. Walked up to do a return which I stated when I walked up to the short ratchet cashier. She asked me again like she couldn't hear the first time then had the nerve to bounce her shoulders back with an attitude staring at me like I was suppose to be intimidated by her. She was so inappropriate  that I had to walk away from her cause her energy was real stupid. Then I requested to be rung up by someone else & her lame co-workers were being unprofessional like she was. They stated she was the only one doing returns & they were also acting very nonchalant as well. I had to search for management myself in the front because the cashier's in customer service were too lazy to do it. They would not call or page one over the radio. So of course it was an inconvenience. The female manager with a yellow vest on was just as bad as far as taking her sweet time responding to my concerns in a nonchalant manner plus her uniform looked unclean & tacky. She had the nerve to be wearing a dirty looking Erika Badu bandana wrapped high around her head. I definitely will not be shopping here ever again.
Erika D.,2018-03-12 00:00:00,"This is by far the worst Walmart I have ever been to.  The shelves were not stocked in many of the aisles, the store was nasty and disgusting, there is always someone outside trying to sell you stolen goods, the workers appear to be lazy every time I go in this store, there was not one shopping cart available.  We need to do better! Why does Walmart continue to run this business like this. I will never go to this location again.  Something needs to be done about this Walmart."
Sherman H.,2012-09-30 00:00:00,"I went to the Walmart location on 95th and Western earlier today to pick up some toiletries, but the lines were too long. I then commuted to the Walmart location at 8331 S. Stewart Ave. to get the same products. The Quilted Northern Bath Tissue 24-roll double roll pack  was priced at $11.97 at the Walmart location on 95th and Western, but when I attempted to purchase the same exact item at 8331 S. Stewart it  costs $13.47. This is a $1.50 difference in price. Why the difference? I feel that  prices are different because of the contrasting racial make-ups of each neighborhood. The Walmart on 95th and Western is within a neighborhood where white people are the majority.  The Walmart on 83rd St. is in a predominantly black neighborhood. I question if this is a blatant reference to how Walmart values African-American money as opposed to the money of white people. In the next few weeks I will conduct a study, comparing the prices of the same exact products at different Walmart locations in neighborhoods that have dissimilar racial compositions."
Iamjust'thatDamn G.,2014-12-05 00:00:00,"The worst WALMART Site to Store Pickup: Chicago Walmart Supercenter8331 S Stewart AveChicago, IL 60620If you want your merchandise on the pickup day thatS giving to you DO NOT HAVE IT SENT TO THIS STORE.  After receiving an email and calling to make sure my order was ready, I waited nearly 45 minutes just to be told its not there.  I ask to speak to a manager an one was called immediately, however it took her twenty minutes to address my concerns, she told me that she had forgot that I was waiting, even though we made eye contact.  I was told by a supervisor named YOLANDA that even though I receive and email saying my item is ready to be picked up, that I need to wait an additional two days before I come in to retrieve it, WHAT? (I know for a fact this is not true) I order 7 packages thru Walmart.Com and receive 5 email stating my items were ready for pickup.  YOLANDA said to disregard the emails, I paid someone to take me to the store and asked for reimbursement, and was told that it wasn't their fault.  The store worker looked for my packages for 5 minutes and said it was still on the FedEx truck.  ARE THESE PEOPLE SERIOUS.  WORST CUSTOMER SERVICE EVER.  Listen up Walmart, When someone pays their money for an item, they expect to get it with NO EXCUSES. LAZY, SAD, LIARS"
Don U.,2015-09-04 00:00:00,no star this store will not replace or refund your items. If you have the item over 30 days and you have warranty that is for 1 or 2 year  that means noting . and the ladies that answer the phone are ass hole they put you on hole and don't come back you ask for the manger and they put you on hold and never let the manger know they have a call . They  just lie  i will not shop with walmart anymore.
Cedric T.,2016-04-16 00:00:00,"Purchased a tv online from walmart was supposed to pick it up at this location on Friday went there twice the second time I ask for manager after 5 mins. no one never came to the front . I went home and called customer service which was a difficult task it took 4 attempts ,1 attempt was disconnected, 2nd &3rd couldn't understand the rep.The 4th attempt spoke with a supervisor named Erica, she was suppose to call me today and upgrading or trying to find a solution and never received a call from her . The store manager called me this morning and ask did I order a baby crib I told him no I order a tv he said it should be in today just wait for a confirmation email which i never received. Don't know which one suck the most the online service, the customer service or the management at 8331 s. Stewart I guess all deals aren't good deals"
A Girl And A Dog A.,2015-12-02 00:00:00,"Lazy ghetto employees which lack customer service skills!! the employees take their time, ring up friends before the next customer in line and don't even try to disguise it!!! The store is dirty and employees don't even move carts out of the aisle so customers can walk through.  Go somewhere else, i can't even suggest another walmart because you'll get the same thing....just go to target"
Demetrius G.,2017-08-16 00:00:00,"3 1/2 years this Walmart hasn't changed a bit.......some employees are very helpful and polite it's only a few that exist at this store. My last visit at this location was horrible lines were long stretching back into the soft lines clothing section. Any retail chain knows that around 6pm on a weekday is the rush hour period. I stood in line for over thirty minutes, for some odd reason only 5-6 registers were open out of 15. But I see a million employees standing around and or on break. Assisting customers, checking them in a timely manner should be the #1 priority. Sales floor employees should be crossed trained to operate the registers when lines get out of control. But Walmart loose money when people get a cart full of groceries stand in line and leave them because the lines are to long. Also the self check out seems to never accept cash."
Angel B.,2015-09-12 00:00:00,"GHETTO Fabulous here!!!! I will never go back to this store. No customer service, man and woman. Walking around like they have a chip on their shoulders, faces all sucked in as if to say, please don't ask me for help. I see why I go to the Wal-Mart's I know! I be trying to support my black folk, but I see why I be hesitant at times. Truly sad, My people got to do better!"
jaime m.,2013-01-22 00:00:00,"why are there always palettes in the isles & hardly ever stock on the ""MF' shelves? Why do the employees think its fine to hold conversations with coworkers & personal visitors while ringing customers up, this broad literally stopped ringning & bagging groceries to have a flirtatious convo w/ a dude that wasnt even mildly attractive :/.. why does this wlmart have the worst produce, but the walmart near my gig , not too far from union station has much better quality of fruit & everything is always  STOCKED ON THE DAMNED SHELVES!.ridiculous"
Kristina L.,2016-12-28 00:00:00,"unprofessional....employees are always conversating with each other and not the customers. walmart.com pick up is a joke for this location. there are always at least 10 carts full of ""go backs"" in the front."
Jennipher M.,2014-05-26 00:00:00,Some of the people that work here are extremely rude and do not understand the importance of customer service. I understand it may be time for you to clock out but do not complain to me and catch an attitude about being in your line. Just a suggestion to managers you have all of these lanes and employees with a significant amount of customers to avoid long lines and aggravated customers open more lanes.
Steven D.,2017-06-15 00:00:00,I'm being generous giving this location ONE Star. Staff is rude and will not help. If there was a option for Zero Stars I would give it to them. Only go to this location only if you are desperate and don't feel like traveling to another location.
Angela B.,2016-01-01 00:00:00,"Most of the employees spend more time talking to one another than assisting the customers. The bathrooms are always a mess and don't ask for help because the employee is going to send you in whatever direction comes to mind in order to get you out of their face. The one employee that was great was Robert in customer service. Even at 7:00am he is smiling, he could teach the other employees about customer service. The return carts are overflowing and sitting in the front of the store and it looks a complete mess.On black Friday, it was unorganized and the lines were backed up. This is normal however because there are more people standing around than checking out customers. Even the front end managers stand around. I was a front end supervisor and when the lines were out of control I jumped in to help bring the lines down. Not at here...they watch and complain! The after Christmas sell was absent. I went to purchase a TV and was looking for a 32 inch. I wanted a 32 inch Samsung. I saw a 32 inch at Walmart but it was high. I went to Target, got a 40 inch Samsung Television for a cheaper price than the Walmart 32 inch television. Walmart was once the store I loved to come to, however these days it is getting worse. The women's clothing department looks like an Elderly person is the buyer. Nothing that makes a mature woman want to wear it because it is no style but a bunch of colors. You can find elastic waist pants all day. Other than that nothing jumps out.In addition, get some pizza's in there that are not pepperoni and sausage. Some people like to have a quality brand pizza that is beef or turkey. They purchase a few cheap brand beef pizza's and everyone doesn't eat pork. Again, the buyer isn't supplying the need of all customers."
Arlene G.,2014-07-15 00:00:00,this location seemed kinda busy last nite. there was merchandise everywhere & some in the wrong sections. i never understood why people just put their stuff wherever they are & cant even put it back where they got it from. its really not that hard 2 do people! got a few things in here & left.
Lawrence L.,2017-02-22 00:00:00,"So me and my friend went to Walmart on Stewart off 83rd Street in Chicago (Oh yeah, calling them out. How else will they learn.) to cash his check. We were 3rd in line when I witness an older woman pass her paycheck and Illinois license to the young lady cashier behind the counter. The cashier told the woman that her address on her check did not match the address on her license so she could not cash her check. The woman went to the cashier's supervisor and again was told no. Then the woman went to an assistant Manager. Meanwhile my friend and I were next. As we step up, the young said to her co-worker ""Didn't nobody tell her to move."" Implying that the lady should not have moved to a new address. Then the assistant manager showed up and told the cashier that he was going to override the check and cash the woman's check. The cashier said, ""Why are you letting her cash her check instead of backing me up?"" The assistant manager said he already signed off on it....Bottom line, the cashier was wrong and should not have said the things she said about that woman and when her manager took responsibility for cashing the check, it was not the cashier's place to question his judgement. Any thoughts?"
Sandra S.,2016-11-01 00:00:00,"I cannot find depend silhouette L/XL  in the stores in my community. But I can always find it in another community much further a away. The sales rep explanation of WMT business model was just stupid. She said that WMT practice is to buy after it sells. However, I can't buy it if they don't have it. The racial makeup and the level of supply seems to be more of WMT business model than anything else. Going to WMT in my community is a waste of gas and time for me. Smh"
